id,name,youtube_url,created_at
1,White Rabbit,https://www.allmusic.com/artist/jefferson-airplane-mn0000840102,2025-03-19 20:30:34
2,Purple Haze,https://www.allmusic.com/artist/the-jimi-hendrix-experience-mn0000088906,2025-03-19 20:30:34
3,Astronomy Domine,https://www.allmusic.com/artist/pink-floyd-mn0000346336,2025-03-19 20:30:34
4,Heroin,https://www.allmusic.com/artist/the-velvet-underground-mn0000840402,2025-03-19 20:30:34
5,Ladies and Gentlemen We Are Floating in Space,https://www.allmusic.com/artist/spiritualized-mn0000746731,2025-03-19 20:30:34
6,L.S.D.,https://www.allmusic.com/artist/the-pretty-things-mn0000489676,2025-03-19 20:30:34
7,Three Days,https://www.allmusic.com/artist/janes-addiction-mn0000806829,2025-03-19 20:30:34
8,Sweet Leaf,https://www.allmusic.com/artist/black-sabbath-mn0000771438,2025-03-19 20:30:34
9,Aftermath,https://www.allmusic.com/artist/tricky-mn0000025462,2025-03-19 20:30:34
10,Dark Star,https://www.allmusic.com/artist/grateful-dead-mn0000988440,2025-03-19 20:30:34
11,Tumbling Dice,https://www.allmusic.com/artist/the-rolling-stones-mn0000894465,2025-03-19 22:52:19
12,Lose Yourself,https://www.allmusic.com/artist/eminem-mn0000157676,2025-03-19 22:52:19
13,Folsom Prison Blues,https://www.allmusic.com/artist/johnny-cash-mn0000816890,2025-03-19 22:52:19
14,Promised Land,https://www.allmusic.com/artist/chuck-berry-mn0000120521,2025-03-19 22:52:19
15,Ohio,https://www.allmusic.com/artist/crosby-stills-nash-young-mn0000130036,2025-03-19 22:52:19
16,Positively 4th Street,https://www.allmusic.com/artist/bob-dylan-mn0000066915,2025-03-19 22:52:19
17,Black Hole Sun,https://www.allmusic.com/artist/soundgarden-mn0000001098,2025-03-19 22:52:19
18,Dancing with the Moonlit Knight,https://www.allmusic.com/artist/genesis-mn0000199995,2025-03-19 22:52:19
19,Time,https://www.allmusic.com/artist/pink-floyd-mn0000346336,2025-03-19 22:52:19
20,Where Have All the Good Times Gone,https://www.allmusic.com/artist/the-kinks-mn0000100160,2025-03-19 22:52:19
111,Fuck tha Police,https://www.allmusic.com/artist/nwa-mn0000314793,2025-03-20 11:58:00
112,Breaking the Law,https://www.allmusic.com/artist/judas-priest-mn0000246611,2025-03-20 11:58:00
113,Mama Said Knock You Out,https://www.allmusic.com/artist/ll-cool-j-mn0000094752,2025-03-20 11:58:00
114,Fight the Power,https://www.allmusic.com/artist/public-enemy-mn0000856785,2025-03-20 11:58:00
115,Wish,https://www.allmusic.com/artist/nine-inch-nails-mn0000351733,2025-03-20 11:58:01
116,Ace of Spades,https://www.allmusic.com/artist/mot%C3%B6rhead-mn0000501407,2025-03-20 11:58:01
117,Kick Out the Jams,https://www.allmusic.com/artist/mc5-mn0000182598,2025-03-20 11:58:01
118,Bawitdaba,https://www.allmusic.com/artist/kid-rock-mn0000088180,2025-03-20 11:58:01
119,Get at Me Dog,https://www.allmusic.com/artist/dmx-mn0000661795,2025-03-20 11:58:01
120,Communication Breakdown,https://www.allmusic.com/artist/led-zeppelin-mn0000139026,2025-03-20 11:58:01
121,Maid That's Deep in Love,https://www.allmusic.com/artist/tim-hart-mn0000503187,2025-03-20 11:58:43
122,Dancing in the Street,https://www.allmusic.com/artist/martha-the-vandellas-mn0001199135,2025-03-20 11:58:43
123,So It Goes,https://www.allmusic.com/artist/nick-lowe-mn0000866841,2025-03-20 11:58:43
124,Live and Let Die,https://www.allmusic.com/artist/wings-mn0000956707,2025-03-20 11:58:43
125,I'll Wait,https://www.allmusic.com/artist/van-halen-mn0000260206,2025-03-20 11:58:43
126,Stand by Your Man,https://www.allmusic.com/artist/tammy-wynette-mn0000136640,2025-03-20 11:58:43
127,Wrong Side of Memphis,https://www.allmusic.com/artist/trisha-yearwood-mn0000749476,2025-03-20 11:58:43
128,Mi Gente,https://www.allmusic.com/artist/j-balvin-mn0002385504,2025-03-20 11:58:43
129,Round of Blues,https://www.allmusic.com/artist/shawn-colvin-mn0000013387,2025-03-20 11:58:43
130,Hamadoun Toure,https://www.allmusic.com/artist/sidiki-diabat%C3%A9-mn0003269780,2025-03-20 11:58:43
131,"A Rainbow in Curved Air, for electric piano, dumbak & tambourines (partially improvised)",https://www.allmusic.com/artist/terry-riley-mn0000750519,2025-03-20 11:59:18
133,NGC 891,https://www.allmusic.com/artist/edgar-froese-mn0000147638,2025-03-20 11:59:18
135,"New Blues [Live at Nice Festival, France, July, 1986]",https://www.allmusic.com/artist/miles-davis-mn0000423829,2025-03-20 11:59:18
136,She Moves She,https://www.allmusic.com/artist/four-tet-mn0000741236,2025-03-20 11:59:18
137,Changing Opinion,https://www.allmusic.com/artist/philip-glass-mn0000849672,2025-03-20 11:59:18
138,Lassie Lie Near Me,https://www.allmusic.com/artist/iain-ballamy-mn0000768849,2025-03-20 11:59:18
139,"Grá agus Bás, for singer and ensemble",https://www.allmusic.com/artist/crash-ensemble-mn0002217309,2025-03-20 11:59:18
140,Shadow Journal,https://www.allmusic.com/artist/max-richter-mn0000203592,2025-03-20 11:59:18
142,Surfer Girl,https://www.allmusic.com/artist/the-beach-boys-mn0000041874,2025-03-20 11:59:55
143,I Want a Little Sugar in My Bowl,https://www.allmusic.com/artist/nina-simone-mn0000411761,2025-03-20 11:59:55
144,Black Sunday,https://www.allmusic.com/artist/the-skatalites-mn0000425105,2025-03-20 11:59:55
145,Hungry Heart,https://www.allmusic.com/artist/bruce-springsteen-mn0000530745,2025-03-20 11:59:55
146,I Could Fall in Love,https://www.allmusic.com/artist/selena-mn0000004852,2025-03-20 11:59:55
147,Me and Paul,https://www.allmusic.com/artist/willie-nelson-mn0000583959,2025-03-20 11:59:55
148,Dance of the Infidels,https://www.allmusic.com/artist/bud-powell-mn0000640675,2025-03-20 11:59:55
149,Little Red Corvette,https://www.allmusic.com/artist/prince-mn0000361393,2025-03-20 11:59:55
150,Everything in Its Right Place,https://www.allmusic.com/artist/radiohead-mn0000326249,2025-03-20 11:59:55
151,ABC,https://www.allmusic.com/artist/the-jackson-5-mn0000083013,2025-03-20 12:00:29
152,It's Only a Paper Moon,https://www.allmusic.com/artist/nat-king-cole-mn0000317093,2025-03-20 12:00:29
153,Five Guys Named Moe,https://www.allmusic.com/artist/louis-jordan-mn0000287604,2025-03-20 12:00:29
154,Give Me the Simple Life,https://www.allmusic.com/artist/june-christy-mn0000837592,2025-03-20 12:00:29
155,Baby I'm-A Want You,https://www.allmusic.com/artist/bread-mn0000610706,2025-03-20 12:00:29
156,Joy Spring,https://www.allmusic.com/artist/clifford-brown-mn0000789775,2025-03-20 12:00:29
157,Wake Me Up Before You Go-Go,https://www.allmusic.com/artist/wham%21-mn0000246960,2025-03-20 12:00:29
158,Calendar Girl,https://www.allmusic.com/artist/neil-sedaka-mn0000330575,2025-03-20 12:00:29
159,Girls Just Want to Have Fun,https://www.allmusic.com/artist/cyndi-lauper-mn0000122754,2025-03-20 12:00:29
160,Ac-Cent-Tchu-Ate the Positive,https://www.allmusic.com/artist/the-andrews-sisters-mn0000043499,2025-03-20 12:00:29
161,Straight Outta Compton,https://www.allmusic.com/artist/nwa-mn0000314793,2025-03-20 12:01:05
162,Bombtrack,https://www.allmusic.com/artist/rage-against-the-machine-mn0000863790,2025-03-20 12:01:06
163,London Calling,https://www.allmusic.com/artist/the-clash-mn0000075747,2025-03-20 12:01:06
