id,name,artist,cover_url,album_url,buy_url
27,Basher: The Best of Nick Lowe,,https://fastly-s3.allmusic.com/release/mr0001416304/front/220/L9DUBAOONnoxoavYsFoUIRyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/basher-the-best-of-nick-lowe-mw0000202323
28,The Intimate Ellington,,https://fastly-s3.allmusic.com/release/mr0000107496/front/220/wZ3KHuW0cHQXBTR68U0s7z6KsMttLlyBmmVTZ6_CLs0=.jpg,,https://www.allmusic.com/album/the-intimate-ellington-mw0000674680
29,Stand by Your Man,,https://fastly-s3.allmusic.com/release/mr0001238903/front/220/_iruikGtzff6vNdTELZyx4Af7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/stand-by-your-man-mw0000232920
30,1984,,https://fastly-s3.allmusic.com/release/mr0001294652/front/220/59QlNYjs3zBF77TonHFrEh_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/1984-mw0000196168
31,Greatest,,https://fastly-s3.allmusic.com/release/mr0004880354/front/220/1ziyK_XGyvxjZjm0pMsYzd_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/greatest-mw0000190866
32,The Way Home,,https://fastly-s3.allmusic.com/release/mr0001432883/front/220/CbMoLoziUlWJlKT_2k6EaASijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/the-way-home-mw0000654139
33,Neujahrskonzert 2025 New Year's Concert,,https://fastly-s3.allmusic.com/release/mr0006601146/front/220/Au7e9_3ehekttT9HpSQxSxyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/neujahrskonzert-2025-new-years-concert-mw0004432214
34,Nation Shall Speak Unto Nation,,https://fastly-s3.allmusic.com/release/mr0006603322/front/220/Z9UtGZMHeuuLcCttuARIjd_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/nation-shall-speak-unto-nation-mw0004457525
35,Seelentrost,,https://fastly-s3.allmusic.com/release/mr0006551986/front/220/2qlkXlg5pG90nKfYlq6rUCpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/seelentrost-mw0004414924
36,Lieder,,https://fastly-s3.allmusic.com/release/mr0006568715/front/220/mJdqHGv3ndgttHpneC6F6VWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/lieder-mw0004428122
